Cod_Cliente,Max_Valor,Mediana_Valor,Media_Valor,Std_Valor,Num_Transacciones,Hora_Mas_Frecuente,Dia_Semana_Mas_Frecuente,Mes_Mas_Frecuente,Num_PAGO_TARJETA_CREDITO,Num_REMESAS,Num_TRANSFER_BANCOS,Num_TRANSFER_EXTERNAS,Num_TRANSFER_INTERNACIONAL,Num_TRANSFER_INTERNAS
1602063,1680.0,340.0,457.86756097560976,434.59909024743996,41,27644,4,12,12,0,28,0,0,1
1602064,500.0,500.0,426.6666666666667,127.01705922171767,3,25047,2,12,0,0,3,0,0,0
1602065,2020.0,400.0,546.5433333333333,544.5575437880658,39,32178,6,8,0,0,39,0,0,0
1602066,10000.0,351.0,1387.6153846153845,2728.130023125167,13,31984,5,2,8,0,4,0,0,1
1602067,400.0,10.0,39.39776785714286,81.62778798086059,112,29664,6,4,0,0,20,0,0,92
1602068,2498.0,1729.0,1729.0,1087.53022946491,2,57303,2,9,0,0,0,0,0,2
1602069,1000.0,400.0,600.0,346.41016151377545,3,41832,4,11,0,0,2,0,0,1
1602070,5800.0,600.0,1806.0,2348.0161839305965,5,30035,3,12,0,0,5,0,0,0
1602071,1283.08,1037.0,884.918,408.8565748768142,5,30735,2,12,0,0,5,0,0,0
1602072,297.0,297.0,297.0,,1,33719,4,4,0,0,1,0,0,0
1602073,846.0,846.0,846.0,,1,54130,3,5,0,0,1,0,0,0
1602074,497.0,163.0,270.1666666666667,196.5428282419212,3,31799,4,4,0,0,3,0,0,0
1602075,100.0,100.0,100.0,,1,32821,2,9,0,0,1,0,0,0
1602076,6974.5,3687.5,3687.5,4648.519979520363,2,36540,5,11,0,0,2,0,0,0
1602077,475.0,475.0,475.0,,1,58455,2,8,0,0,1,0,0,0
1602078,398.0,289.25,289.25,153.79572490807408,2,53744,4,4,0,0,2,0,0,0
1602079,90.0,70.0,63.333333333333336,30.550504633038933,3,32484,3,7,0,0,2,0,0,1
1602080,150.0,6.46,13.35326923076923,21.96109534404892,52,29486,6,7,0,0,1,0,0,51
1602081,35.0,32.0,30.523076923076925,8.793193754845642,13,23069,1,5,0,0,1,0,0,12
1602082,723.0,295.0,256.77777777777777,125.76853348249283,63,19259,5,7,9,0,54,0,0,0
1602083,20.0,11.665,12.278333333333334,4.789147801714484,6,33783,3,8,0,0,0,0,0,6
1602084,162.0,155.0,110.41666666666667,83.35628850502722,3,30737,4,1,0,0,3,0,0,0
1602085,350.0,250.0,209.80769230769232,101.83791797980523,26,29698,2,9,0,0,2,0,0,24
1602086,540.0,45.0,94.8284375,118.3397321304457,32,31208,5,5,0,0,19,1,0,12
1602087,500.0,28.0,84.07045454545454,128.82534379750535,22,35136,3,7,14,0,0,2,0,6
1602088,20.0,20.0,20.0,,1,33888,5,12,0,0,0,0,0,1
1602089,25.0,17.5,17.5,10.606601717798213,2,31769,2,5,0,0,0,0,0,2
1602090,2000.0,300.0,730.7308333333334,742.7157111507414,12,30842,5,7,0,0,12,0,0,0
1602091,1001.0,200.0,283.5689655172414,249.3931106613015,29,29633,3,8,0,0,27,0,0,2
1602092,1000.0,80.58,160.00765957446808,223.25320806120735,47,29332,3,4,12,0,24,0,0,11
1602093,482.69,482.69,482.69,,1,83465,6,11,0,0,1,0,0,0
1602094,500.0,450.0,450.0,70.71067811865476,2,27348,6,12,0,0,2,0,0,0
1602095,1250.0,233.81,327.91588235294114,346.08886926010103,17,34977,4,12,0,0,17,0,0,0
